Domain,Phylum,Class,Order,Family,Genus,Species,OTU
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,HK555664.1.1292
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,KJ923791.1.1343
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,KR083834.1.1300
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,FJ950599.1.1456
Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae,uncultured bacterium,New.CleanUp.ReferenceOTU69530
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae,Ambiguous_taxa,LN571475.1.1366
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae,uncultured bacterium,GQ263724.1.1447
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured bacterium,FN563170.1.1481
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured Firmicutes bacterium,New.ReferenceOTU109
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured compost bacterium,New.ReferenceOTU983
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillaceae,uncultured compost bacterium,New.ReferenceOTU1382
Bacteria,Betaproteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclaceae,uncultured Alcaligenaceae bacterium,KP183072.1.1501
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae,uncultured bacterium,AY218724.1.1479
Bacteria,Gammaproteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Xanthomonadales Incertae Sedis,uncultured bacterium,GQ263830.1.1459
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,AKYG937,AKYG937,uncultured alpha proteobacterium,AY922077.1.1344
Bacteria,Alphaproteobacteria,Alphaproteobacteria,Sphingomonadales,AKYG937,AKYG937,uncultured alpha proteobacterium,New.ReferenceOTU1160
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae,uncultured bacterium,New.ReferenceOTU132
Bacteria,Gemmatimonadetes,S0134 terrestrial group,uncultured bacterium,uncultured bacterium,S0134 terrestrial group,uncultured bacterium,New.ReferenceOTU5
Bacteria,Gemmatimonadetes,S0134 terrestrial group,uncultured bacterium,uncultured bacterium,S0134 terrestrial group,uncultured bacterium,New.ReferenceOTU20
Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae,uncultured forest soil bacterium,New.ReferenceOTU348
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,Vulgatibacter incomptus,CP012332.176447.177995
Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,uncultured compost bacterium,New.ReferenceOTU547
