"","Treatment","Day","N","N20","sd","se","ci"
"57","Antibacterial+Antifungal","6",4,0.66492156,0.780050317411702,0.390025158705851,1.24123412529113
"58","Antibacterial+Antifungal","9",4,0.04917949,0.126788448968404,0.0633942244842019,0.201748715486074
"59","Antifungal","-1",4,1.7797015635,3.21539592473576,1.60769796236788,5.1164124403498
"60","Antifungal","0",4,2.4606868195,0.448578204367221,0.22428910218361,0.713788024559631
"61","Antifungal","12",4,0.327699929,0.443703193825933,0.221851596912967,0.706030794916961
"62","Antifungal","15",4,0.133970383,0.325978631655911,0.162989315827955,0.518704745957396
"63","Antifungal","18",4,0.11696472425,0.52045738898637,0.260228694493185,0.828163847318639
"64","Antifungal","21",4,0.08516783575,0.102412809811216,0.0512064049056078,0.162961634098713
"65","Antifungal","24",4,0.20638302675,0.156158492533751,0.0780792462668753,0.248483008801354
"66","Antifungal","27",4,0.419615998,0.160604985969052,0.0803024929845261,0.255558372103676
"67","Antifungal","3",4,4.03246916575,2.71230435557921,1.35615217778961,4.31588148760898
"68","Antifungal","30",4,0.818742543,0.597214593402959,0.298607296701479,0.950301688118379
"69","Antifungal","33",4,1.8933523215,2.04237798083876,1.02118899041938,3.24987912955655
"70","Antifungal","35",4,4.888819533,4.43319005192307,2.21659502596154,7.05419465068154
"71","Antifungal","36",4,7.4280888085,8.39971629850293,4.19985814925147,13.365823049801
"72","Antifungal","37",4,16.78220837125,17.3476197916663,8.67380989583315,27.6039342557275
"73","Antifungal","38",4,16.652338507,15.2575911786613,7.62879558933066,24.27823233703
"74","Antifungal","39",4,28.77496594725,30.2047544358381,15.1023772179191,48.0625045781674
"75","Antifungal","40",4,35.13517615,20.0719937093412,10.0359968546706,31.9390211099854
"76","Antifungal","41",4,58.8506152225,38.3666560154558,19.1833280077279,61.0499113412392
"77","Antifungal","42",4,91.44221672,52.2987977248852,26.1493988624426,83.2190577951704
"78","Antifungal","44",4,110.70475271,58.9603134375002,29.4801567187501,93.8190158287709
"79","Antifungal","45",4,138.711326085,55.2727581636794,27.6363790818397,87.9512925004208
"80","Antifungal","46",4,136.3604961075,59.7672090823701,29.8836045411851,95.1029668606538
"81","Antifungal","47",4,146.2740353875,57.5794645325471,28.7897322662736,91.6217770809094
"82","Antifungal","48",4,174.69466215,55.7010583366982,27.8505291683491,88.6328136520087
"83","Antifungal","49",4,202.922564725,69.5395729026126,34.7697864513063,110.652978427463
"84","Antifungal","50",4,71.385370145,21.519110735803,10.7595553679015,34.2417072270737
"85","Antifungal","51",4,49.5629066925,13.0612229673445,6.53061148367224,20.7833203874561
"86","Antifungal","6",4,0.062747546,0.194828193109194,0.0974140965545968,0.310015131662727
"87","Antifungal","9",4,0.0748760605,0.44526731249571,0.222633656247855,0.70851965675779
