"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"37","Antibacterial","Flavobacterium","Bacteroidetes",21,48.0952380952381,59.4826905594432,12.9801872394421,27.076196120143
"38","Antifungal","Flavobacterium","Bacteroidetes",17,62.1176470588235,81.0161113243387,19.6492931980616,41.654640776523
"39","Antibacterial+Antifungal","Flavobacterium","Bacteroidetes",19,80.7368421052632,97.5726749688907,22.3847068337019,47.0285239512584
"40","Positive Control","Flavobacterium","Bacteroidetes",18,218.277777777778,118.968510690635,28.0411468856707,59.1616485197003
"41","Negative Control","Luteimonas","Gammaproteobacteria",20,0,0,0,0
"42","Antibacterial+Antifungal","Luteimonas","Gammaproteobacteria",19,21.5263157894737,20.2576965375101,4.64743431768001,9.76389718858651
"43","Antifungal","Luteimonas","Gammaproteobacteria",17,26.4117647058824,40.6756358640056,9.86529076802687,20.9134821774987
"44","Positive Control","Luteimonas","Gammaproteobacteria",18,35.1666666666667,30.1686436357939,7.11081749802342,15.0025135284595
"45","Antibacterial","Luteimonas","Gammaproteobacteria",21,46.3333333333333,51.9377832924484,11.3337534936123,23.641795507997
"46","Negative Control","Mucilaginibacter","Bacteroidetes",20,0.1,0.307793505625546,0.0688247201611685,0.144051794835246
"47","Antibacterial+Antifungal","Mucilaginibacter","Bacteroidetes",19,0.421052631578947,0.692482608982125,0.158866405932235,0.333765933676913
"48","Antibacterial","Mucilaginibacter","Bacteroidetes",21,1.04761904761905,3.02450310755652,0.660000687143187,1.37673730855104
"49","Antifungal","Mucilaginibacter","Bacteroidetes",17,1.76470588235294,4.39501723211505,1.06594825143648,2.25970934691582
"50","Positive Control","Mucilaginibacter","Bacteroidetes",18,3.16666666666667,5.43680269362534,1.28146668421192,2.70365837282472
"51","Negative Control","Myxococcus","Deltaproteobacteria",20,0,0,0,0
"52","Antifungal","Myxococcus","Deltaproteobacteria",17,0.411764705882353,0.712287119900726,0.172755001830452,0.366224243847352
"53","Antibacterial+Antifungal","Myxococcus","Deltaproteobacteria",19,2.42105263157895,3.18530984841496,0.730760196479247,1.53527020291412
"54","Antibacterial","Myxococcus","Deltaproteobacteria",21,4.23809523809524,4.8363701461402,1.05538248969105,2.20148929637998
"55","Positive Control","Myxococcus","Deltaproteobacteria",18,6.61111111111111,5.92242884285601,1.39592986529276,2.94515457535743
"56","Negative Control","Nitrosospira","Betaproteobacteria",20,0.4,0.598243041616119,0.133771210811988,0.279986362016815
"57","Antibacterial","Nitrosospira","Betaproteobacteria",21,53.0476190476191,85.261642132014,18.6056156641043,38.8106341891988
"58","Positive Control","Nitrosospira","Betaproteobacteria",18,53.0555555555556,80.4695574313828,18.9668565796037,40.0165694741782
"59","Antifungal","Nitrosospira","Betaproteobacteria",17,71.7647058823529,109.476327013974,26.5519093990162,56.287533439417
"60","Antibacterial+Antifungal","Nitrosospira","Betaproteobacteria",19,72.8421052631579,112.009554730287,25.6967541989637,53.9868772592592
"61","Negative Control","Paenibacillus","Firmicutes",20,0.05,0.223606797749979,0.05,0.104651202720415
"62","Antibacterial+Antifungal","Paenibacillus","Firmicutes",19,45.0526315789474,38.8951206368707,8.92315264489172,18.7468480600881
"63","Antifungal","Paenibacillus","Firmicutes",17,78.6470588235294,81.202633252,19.6945314103699,41.7505415025227
"64","Antibacterial","Paenibacillus","Firmicutes",21,145.857142857143,106.278542384757,23.1918792965581,48.3774124860223
"65","Positive Control","Paenibacillus","Firmicutes",18,312.222222222222,107.787675578129,25.4057987765435,53.6015500260501
"66","Negative Control","Pedobacter","Bacteroidetes",20,0,0,0,0
"67","Antibacterial","Pedobacter","Bacteroidetes",21,8.61904761904762,8.27330762437969,1.80538373506549,3.76596447963492
"68","Antifungal","Pedobacter","Bacteroidetes",17,9.64705882352941,8.0850261013075,1.96090685891568,4.15693684149466
"69","Antibacterial+Antifungal","Pedobacter","Bacteroidetes",19,10.6315789473684,11.0162028460899,2.52729026040268,5.30963981016651
"70","Positive Control","Pedobacter","Bacteroidetes",18,11.3333333333333,10.8790137961338,2.56420814262275,5.41000628411251
"71","Antibacterial+Antifungal","Pseudomonas","Gammaproteobacteria",19,0,0,0,0
"72","Positive Control","Pseudomonas","Gammaproteobacteria",18,0,0,0,0
"73","Negative Control","Pseudomonas","Gammaproteobacteria",20,0.05,0.223606797749979,0.05,0.104651202720415
"74","Antibacterial","Pseudomonas","Gammaproteobacteria",21,0.142857142857143,0.478091443733757,0.10432810619146,0.217624616037858
"75","Antifungal","Pseudomonas","Gammaproteobacteria",17,3.52941176470588,14.2964927825797,3.46740881285039,7.35057831692801
"76","Negative Control","Pseudoxanthomonas","Gammaproteobacteria",20,0,0,0,0
"77","Antifungal","Pseudoxanthomonas","Gammaproteobacteria",17,9.17647058823529,12.0946025881261,2.93337199827721,6.21847084373509
"78","Antibacterial","Pseudoxanthomonas","Gammaproteobacteria",21,26.047619047619,19.6480945398687,4.28756573764747,8.94370540648213
"79","Antibacterial+Antifungal","Pseudoxanthomonas","Gammaproteobacteria",19,29.5263157894737,61.3291379190572,14.0698691833494,29.5596982706069
"80","Positive Control","Pseudoxanthomonas","Gammaproteobacteria",18,33.1111111111111,22.053114729694,5.19796899055052,10.966755949358
"81","Negative Control","S0134 terrestrial group","Gemmatimonadetes",20,0.05,0.223606797749979,0.05,0.104651202720415
"82","Antifungal","S0134 terrestrial group","Gemmatimonadetes",17,21,26.8909836190497,6.52202151988801,13.8260679816457
"83","Antibacterial+Antifungal","S0134 terrestrial group","Gemmatimonadetes",19,30.1052631578947,35.0854429086134,8.04915263305323,16.9106421720457
"84","Positive Control","S0134 terrestrial group","Gemmatimonadetes",18,65.9444444444444,40.8763878659468,9.63465701680749,20.3273494611415
"85","Antibacterial","S0134 terrestrial group","Gemmatimonadetes",21,67.3809523809524,47.4989222935386,10.3651146113793,21.6212502060586
"86","Negative Control","Sphingobacterium","Bacteroidetes",20,0.1,0.307793505625546,0.0688247201611685,0.144051794835246
"87","Antifungal","Sphingobacterium","Bacteroidetes",17,52.7647058823529,48.7346506755777,11.8198889625286,25.0570452478712
"88","Antibacterial+Antifungal","Sphingobacterium","Bacteroidetes",19,82.7368421052632,49.6239661020349,11.3845186008662,23.9179860460939
